place_id,review_type,user,rating,date,text,review_position,user_address,useful,cool,funny,user_link
wEYj3B_EH6JS6DbfmZQudw,recommended,John B.,5,2025-03-27T05:04:34Z,"A warm greeting followed by a delicious dinner served by friendly happy servers .... What more can you want ?? I had read about their duck parfait app which to my dismay was not on the menu that night !!! A quiet inquiry and lo &behold , the duck parfait app was delicious !!! Squad leader had a tenderloin and i had rack o lamb in a delicious veg succotash. A delicious meal w/ exemplary service mere steps from Fable Christchurch Hotel. . Highly recommend",1,"Falmouth, MA",0,0,0,https://www.yelp.com/user_details?userid=MgHxF_6EDUv2d3nccfqU2g
wEYj3B_EH6JS6DbfmZQudw,recommended,Azure G.,5,2025-02-14T04:09:56Z,"Twenty Seven Steps - what a spot! Intimate space in a lovely location with great service, expansive wine selection and they are happy to make you a tasty mocktail that suits your palate. 

Now... the food. Epic. Seasonal. Simple. Divine. I started with their marinated tomato salad which was fresh and flavorful. Entree was the steak with potato, onion rings and veggies - absolutely incredible. Naturally I had to save room for dessert and landed on the vanilla crème brûlée (though all the options sounded amazing). It came with fresh fruit and pistachio biscotti and was a great way to round out the meal. 

I would come back here again and again and again. Bravo!!",2,"Denver, CO",0,0,0,https://www.yelp.com/user_details?userid=Z583nOzi9vc0X5O1HyW2gA
wEYj3B_EH6JS6DbfmZQudw,recommended,Calista C.,5,2025-01-29T21:31:56Z,"Visited here while on my stop in Christchurch. Easily the best meal I had in town. They're on the second floor, above their sister restaurant, Downstairs. Upon being seated, the server was extremely thorough going over the menu and offered excellent recommendations. I got the duck liver pate and their lamb. Both were incredible, especially the duck liver pate. Will definitely be back if I'm in town again",3,"Irvine, CA",2,2,0,https://www.yelp.com/user_details?userid=PqR0KB_K7KBVtacEBJTqjg
wEYj3B_EH6JS6DbfmZQudw,recommended,Jasper R.,5,2024-11-20T04:47:31Z,"Everything in here was amazing! One of my favorite places!

The service is top-notch. They are so attentive and flexible depending on the needs of the table. 
The food is always on point and priced reasonably.
Cute 2nd story location, in a bit of a smaller space but the tables are spaced appropriately and comfortably away from other guests.

Make sure to make reservations as they do get quite busy.",4,"Lathrop, CA",0,0,0,https://www.yelp.com/user_details?userid=IaX6kVl4TCH5U0lhfSvRMw
wEYj3B_EH6JS6DbfmZQudw,recommended,Andy M.,4,2024-10-25T05:19:39Z,"Cool atmosphere, great service, and the good food. The soup and monkfish was delicious!",5,"Cincinnati, OH",0,0,0,https://www.yelp.com/user_details?userid=ODxAjIjfWnQ7wFttrNlE7A
wEYj3B_EH6JS6DbfmZQudw,recommended,Kelvin M.,5,2024-07-21T06:25:26Z,"Everything really.  Staff very friendly but that venison meal was just superb 
I am booking real early next time to make I can get a table 
:)",6,"Buenos Aires, Argentina",0,0,0,https://www.yelp.com/user_details?userid=BAu0ZsiaXwhlLSvdVP7IBg
wEYj3B_EH6JS6DbfmZQudw,recommended,Abby H.,5,2024-05-15T09:22:11Z,"really wonderful restaurant and wine bar. they have a changing menu that has very unique creations. staff is super friendly and welcoming. sadly i don't live near here, otherwise i would've been here all the time!",7,"San Francisco Bay Area, CA",0,0,0,https://www.yelp.com/user_details?userid=cowAGc5BveAlFwLqaafnBA
wEYj3B_EH6JS6DbfmZQudw,recommended,友美,4,2024-04-12T06:52:26Z,"It's a pretty fully booked place and it's almost impossible to get in without a booking. Luckily enough, the sister restaurant downstairs allowed us to sit down but still order from upstairs. 
The food is okay I guess. I was way too hyped about it so it was a bit let down that the food didn't live up to my hype. It wasn't the restaurants fault. The service is really good. Food wise, it's not bad at all but I wouldn't necessarily come back again cos it's just fine. But not like Wow kinda food.",8,"Auckland, New Zealand",0,0,0,https://www.yelp.com/user_details?userid=gkSyczctW9VQOlJ7xeQpYQ
wEYj3B_EH6JS6DbfmZQudw,recommended,Sara Jo L.,5,2024-04-06T05:38:35Z,"Grilled peach salad was exceptional only to be topped by the Monkfish. Excellent sauces, exquisite mix of veggies & greens. The dark chocolate hazelnut tort -  delicious. Lovely setting & excellent service. Highly recommend.",9,"Parker, CO",0,0,0,https://www.yelp.com/user_details?userid=a6ckC4sHF4X3hcSzEqegXQ
wEYj3B_EH6JS6DbfmZQudw,recommended,Winnie Y.,5,2023-12-22T00:21:34Z,Don't get this place confused with the sister restaurant downstairs. Twenty Seven Steps is upstairs (and ONLY upstairs). Tiny place so reservations are highly recommended. I wasn't able to make one but they were able to squeeze me in (party of one) if I finished in less than an hour which I did. Seating is a little cramped in some areas but I appreciate them for trying to accommodate as may guests as they can. Food is fantastic and high quality and pricing is fair. Portions are adequate and I was stuffed. Service is standard.,10,"Castro Valley, CA",0,0,0,https://www.yelp.com/user_details?userid=Z9aLttY7x43Xw6n0n-3sBw
